level0,level1,level2,level2,code,name,note,latitude,longitude
จ.เชียงราย,พญาเม็งราย,องค์การบริหารส่วนตําบลตาดควัน,ตาดควัน,6787,รพ.สต.ตาดควัน,รพ.สต.,19.991,100.184
จ.เชียงราย,พาน,องค์การบริหารส่วนตําบลทรายขาว,ทรายขาว,6715,รพ.สต.บ้านร่องธาร,รพ.สต.,19.663,99.733
จ.เชียงราย,พาน,องค์การบริหารส่วนตําบลทรายขาว,ทรายขาว,6716,รพ.สต.ทรายขาว,รพ.สต.,19.663,99.733
จ.เชียงราย,เวียงชัย,เทศบาลตำบลดอนศิลา,ดอนศิลา,6673,รพ.สต.บ้านช่องลม,รพ.สต.,19.805,100.005
จ.เชียงราย,เวียงชัย,เทศบาลตำบลดอนศิลา,ดอนศิลา,6674,รพ.สต.ดอนศิลา,รพ.สต.,19.805,100.005
จ.เชียงราย,แม่สรวย,เทศบาลตำบลเจดีย์หลวง,เจดีย์หลวง,6772,รพ.สต.เจดีย์หลวง,รพ.สต.,19.569,99.546
จ.เชียงราย,เชียงของ,เทศบาลตำบลสถาน,สถาน,6676,รพ.สต.สถาน,รพ.สต.,20.202,100.364
จ.เชียงราย,เชียงของ,เทศบาลตำบลสถาน,สถาน,6677,รพ.สต.บ้านน้ำม้า,รพ.สต.,20.202,100.364
จ.เชียงราย,เชียงของ,เทศบาลตำบลสถาน,สถาน,6678,รพ.สต.บ้านทุ่งอ่าง,รพ.สต.,20.202,100.364
จ.เชียงราย,เชียงของ,เทศบาลตำบลสถาน,สถาน,23983,รพ.สต.บ้านทุ่งงิ้ว,รพ.สต.,20.202,100.364
จ.เชียงราย,เมืองเชียงราย,เทศบาลตำบลนางแล,นางแล,6650,รพ.สต.บ้านท่าสุด,รพ.สต.,20.048,99.876
จ.เชียงราย,เมืองเชียงราย,เทศบาลตำบลนางแล,นางแล,6651,รพ.สต.แม่ข้าวต้ม,รพ.สต.,20.048,99.876
จ.เชียงราย,แม่ฟ้าหลวง,องค์การบริหารส่วนตําบลแม่สลองนอก,แม่สลองนอก,6803,รพ.สต.บ้านสันติคีรี,รพ.สต.,20.141,99.654
จ.เชียงราย,แม่ฟ้าหลวง,องค์การบริหารส่วนตําบลแม่สลองนอก,แม่สลองนอก,10477,รพ.สต.บ้านธาตุ,รพ.สต.,20.141,99.654
จ.เชียงราย,เมืองเชียงราย,เทศบาลตำบลบ้านดู่,บ้านดู่,6647,รพ.สต.บ้านดู่,รพ.สต.,19.971,99.847
จ.เชียงราย,เมืองเชียงราย,เทศบาลตำบลบ้านดู่,บ้านดู่,6648,รพ.สต.บ้านโป่งพระบาท,รพ.สต.,19.971,99.847
จ.เชียงราย,พญาเม็งราย,เทศบาลตำบลเม็งราย,เม็งราย,6785,รพ.สต.เม็งราย,รพ.สต.,19.861,100.182
จ.เชียงราย,พญาเม็งราย,เทศบาลตำบลเม็งราย,เม็งราย,6786,รพ.สต.บ้านศรีสะอาด,รพ.สต.,19.861,100.182
จ.เชียงราย,เมืองเชียงราย,องค์การบริหารส่วนตําบลแม่ข้าวต้ม,แม่ข้าวต้ม,6652,รพ.สต.บ้านโล๊ะป่าห้า,รพ.สต.,20.021,99.922
จ.เชียงราย,เวียงเชียงรุ้ง,องค์การบริหารส่วนตําบลทุ่งก่อ,ทุ่งก่อ,6815,รพ.สต.ทุ่งก่อ,รพ.สต.,19.984,100.049
จ.เชียงราย,เวียงเชียงรุ้ง,องค์การบริหารส่วนตําบลทุ่งก่อ,ทุ่งก่อ,6816,รพ.สต.บ้านร่องบัวทอง,รพ.สต.,19.984,100.049
